UniqueID,NearSchoolDist,NearSchoolMins,DistMeters,TimeMins
230187000,Buford Middle School,Buford Middle School,326,4.3
300146000,Buford Middle School,Buford Middle School,648,8.6
290180000,Buford Middle School,Buford Middle School,1124,15
290193000,Buford Middle School,Buford Middle School,890,11.9
290125000,Buford Middle School,Buford Middle School,1206,16.1
230084000,Buford Middle School,Buford Middle School,658,8.8
290133000,Buford Middle School,Buford Middle School,1259,16.8
290221000,Buford Middle School,Buford Middle School,655,8.7
290196000,Buford Middle School,Buford Middle School,799,10.7
300155A00,Buford Middle School,Buford Middle School,604,8.1
230186000,Buford Middle School,Buford Middle School,344,4.6
300155000,Buford Middle School,Buford Middle School,570,7.6
290174000,Buford Middle School,Buford Middle School,977,13
230132000,Johnson Elementary School,Johnson Elementary School,1211,16.1
230085000,Buford Middle School,Buford Middle School,678,9
230185000,Buford Middle School,Buford Middle School,362,4.8
290126000,Buford Middle School,Buford Middle School,1103,14.7
290197000,Buford Middle School,Buford Middle School,878,11.7
230192000,Buford Middle School,Buford Middle School,0,0
290199000,Buford Middle School,Buford Middle School,796,10.6
300147000,Buford Middle School,Buford Middle School,664,8.9
230087000,Buford Middle School,Buford Middle School,720,9.6
290170000,Buford Middle School,Buford Middle School,980,13.1
230184000,Buford Middle School,Buford Middle School,380,5.1
230133000,Johnson Elementary School,Johnson Elementary School,1211,16.1
290175000,Buford Middle School,Buford Middle School,965,12.9
290179000,Buford Middle School,Buford Middle School,889,11.9
290129000,Buford Middle School,Buford Middle School,1201,16
290128000,Buford Middle School,Buford Middle School,1166,15.6
290134000,Buford Middle School,Buford Middle School,1239,16.5
300160000,Buford Middle School,Buford Middle School,477,6.4
230183000,Buford Middle School,Buford Middle School,398,5.3
230136000,Johnson Elementary School,Johnson Elementary School,1210,16.1
230137000,Johnson Elementary School,Johnson Elementary School,1146,15.3
290169000,Buford Middle School,Buford Middle School,1029,13.7
290222000,Buford Middle School,Buford Middle School,666,8.9
230088000,Buford Middle School,Buford Middle School,730,9.7
290198000,Buford Middle School,Buford Middle School,871,11.6
230134000,Johnson Elementary School,Johnson Elementary School,1002,13.4
290233100,Buford Middle School,Buford Middle School,846,11.3
230130400,Buford Middle School,Buford Middle School,898,12
230080000,Buford Middle School,Buford Middle School,535,7.1
290127000,Buford Middle School,Buford Middle School,1150,15.3
230182000,Buford Middle School,Buford Middle School,416,5.6
300156000,Buford Middle School,Buford Middle School,681,9.1
290168000,Buford Middle School,Buford Middle School,1042,13.9
290176000,Buford Middle School,Buford Middle School,952,12.7
230181000,Buford Middle School,Buford Middle School,434,5.8
290167000,Buford Middle School,Buford Middle School,1052,14
290135000,Buford Middle School,Buford Middle School,1239,16.5
230089000,Buford Middle School,Buford Middle School,761,10.1
300159100,Buford Middle School,Buford Middle School,537,7.2
230135000,Johnson Elementary School,Johnson Elementary School,991,13.2
230082000,Buford Middle School,Buford Middle School,588,7.8
290232100,Buford Middle School,Buford Middle School,771,10.3
290166000,Buford Middle School,Buford Middle School,1064,14.2
230090000,Buford Middle School,Buford Middle School,814,10.9
230082100,Buford Middle School,Buford Middle School,606,8.1
290176100,Buford Middle School,Buford Middle School,897,12
230130500,Buford Middle School,Buford Middle School,882,11.8
290136000,Buford Middle School,Buford Middle School,1211,16.1
230168100,Johnson Elementary School,Johnson Elementary School,1184,15.8
290154000,Buford Middle School,Buford Middle School,1021,13.6
300157000,Buford Middle School,Buford Middle School,703,9.4
300160400,Buford Middle School,Buford Middle School,504,6.7
300159200,Buford Middle School,Buford Middle School,537,7.2
290178200,Buford Middle School,Buford Middle School,868,11.6
230081000,Buford Middle School,Buford Middle School,564,7.5
230180000,Buford Middle School,Buford Middle School,493,6.6
300159300,Buford Middle School,Buford Middle School,556,7.4
290164000,Buford Middle School,Buford Middle School,986,13.1
290176200,Buford Middle School,Buford Middle School,934,12.5
290223000,Buford Middle School,Buford Middle School,691,9.2
290153000,Buford Middle School,Buford Middle School,1108,14.8
230130600,Buford Middle School,Buford Middle School,872,11.6
300159400,Buford Middle School,Buford Middle School,575,7.7
290152100,Buford Middle School,Buford Middle School,1124,15
290177000,Buford Middle School,Buford Middle School,902,12
230168000,Johnson Elementary School,Johnson Elementary School,1152,15.4
230138000,Johnson Elementary School,Johnson Elementary School,1131,15.1
290165000,Buford Middle School,Buford Middle School,998,13.3
300158000,Buford Middle School,Buford Middle School,581,7.8
290224000,Buford Middle School,Buford Middle School,710,9.5
290152000,Buford Middle School,Buford Middle School,1173,15.6
230170000,Johnson Elementary School,Johnson Elementary School,954,12.7
300158200,Buford Middle School,Buford Middle School,617,8.2
290178100,Buford Middle School,Buford Middle School,824,11
230130700,Buford Middle School,Buford Middle School,840,11.2
290140000,Buford Middle School,Buford Middle School,1170,15.6
290161000,Buford Middle School,Buford Middle School,979,13.1
230094000,Buford Middle School,Buford Middle School,580,7.7
230179000,Buford Middle School,Buford Middle School,518,6.9
290139000,Buford Middle School,Buford Middle School,1178,15.7
300160200,Buford Middle School,Buford Middle School,557,7.4
230139000,Johnson Elementary School,Johnson Elementary School,1113,14.8
290137100,Buford Middle School,Buford Middle School,1190,15.9
230167000,Johnson Elementary School,Johnson Elementary School,1142,15.2
300158100,Buford Middle School,Buford Middle School,647,8.6
230130800,Buford Middle School,Buford Middle School,850,11.3
290178000,Buford Middle School,Buford Middle School,906,12.1
290137000,Buford Middle School,Buford Middle School,1214,16.2
290141000,Buford Middle School,Buford Middle School,1206,16.1
290225000,Buford Middle School,Buford Middle School,715,9.5
230093000,Buford Middle School,Buford Middle School,635,8.5
300161000,Buford Middle School,Buford Middle School,589,7.9
230170100,Johnson Elementary School,Johnson Elementary School,930,12.4
230178000,Buford Middle School,Buford Middle School,539,7.2
290233300,Buford Middle School,Buford Middle School,819,10.9
290160000,Buford Middle School,Buford Middle School,939,12.5
300160100,Buford Middle School,Buford Middle School,487,6.5
230140000,Johnson Elementary School,Johnson Elementary School,1096,14.6
300158300,Buford Middle School,Buford Middle School,632,8.4
290151000,Buford Middle School,Buford Middle School,1098,14.6
290155000,Buford Middle School,Buford Middle School,1014,13.5
290138000,Buford Middle School,Buford Middle School,1220,16.3
230166000,Johnson Elementary School,Johnson Elementary School,1110,14.8
230130900,Buford Middle School,Buford Middle School,866,11.6
300162000,Buford Middle School,Buford Middle School,582,7.8
290226000,Buford Middle School,Buford Middle School,718,9.6
230092000,Buford Middle School,Buford Middle School,684,9.1
300162A00,Buford Middle School,Buford Middle School,582,7.8
230177000,Buford Middle School,Buford Middle School,559,7.5
230170200,Johnson Elementary School,Johnson Elementary School,913,12.2
230093100,Buford Middle School,Buford Middle School,684,9.1
300162B00,Buford Middle School,Buford Middle School,620,8.3
230141000,Johnson Elementary School,Johnson Elementary School,1078,14.4
230095000,Buford Middle School,Buford Middle School,615,8.2
230128000,Buford Middle School,Buford Middle School,876,11.7
230165000,Johnson Elementary School,Johnson Elementary School,1101,14.7
290232200,Buford Middle School,Buford Middle School,754,10.1
290159000,Buford Middle School,Buford Middle School,922,12.3
290226300,Buford Middle School,Buford Middle School,639,8.5
300162C00,Buford Middle School,Buford Middle School,610,8.1
290233000,Buford Middle School,Buford Middle School,840,11.2
230096000,Buford Middle School,Buford Middle School,642,8.6
290156000,Buford Middle School,Buford Middle School,988,13.2
230176000,Buford Middle School,Buford Middle School,572,7.6
290158000,Buford Middle School,Buford Middle School,908,12.1
300163900,Buford Middle School,Buford Middle School,500,6.7
290226400,Buford Middle School,Buford Middle School,630,8.4
290143000,Buford Middle School,Buford Middle School,1217,16.2
230097000,Buford Middle School,Buford Middle School,702,9.4
300162D00,Buford Middle School,Buford Middle School,599,8
230170300,Johnson Elementary School,Johnson Elementary School,897,12
230142000,Johnson Elementary School,Johnson Elementary School,1060,14.1
290226500,Buford Middle School,Buford Middle School,622,8.3
230164000,Johnson Elementary School,Johnson Elementary School,1101,14.7
300163101,Buford Middle School,Buford Middle School,501,6.7
230175000,Buford Middle School,Buford Middle School,588,7.8
300163800,Buford Middle School,Buford Middle School,524,7
300162E00,Buford Middle School,Buford Middle School,596,8
290157000,Buford Middle School,Buford Middle School,1001,13.4
290144000,Buford Middle School,Buford Middle School,1116,14.9
290226600,Buford Middle School,Buford Middle School,614,8.2
300163700,Buford Middle School,Buford Middle School,533,7.1
230098000,Buford Middle School,Buford Middle School,723,9.6
300163600,Buford Middle School,Buford Middle School,544,7.3
300163110,Buford Middle School,Buford Middle School,424,5.6
290228000,Buford Middle School,Buford Middle School,596,8
230170400,Johnson Elementary School,Johnson Elementary School,876,11.7
230143000,Johnson Elementary School,Johnson Elementary School,1043,13.9
300163500,Buford Middle School,Buford Middle School,555,7.4
230174200,Buford Middle School,Buford Middle School,600,8
230163000,Johnson Elementary School,Johnson Elementary School,1071,14.3
300163400,Buford Middle School,Buford Middle School,616,8.2
290145000,Buford Middle School,Buford Middle School,1060,14.1
300163300,Buford Middle School,Buford Middle School,605,8.1
300163120,Buford Middle School,Buford Middle School,409,5.5
290232300,Buford Middle School,Buford Middle School,807,10.8
300163200,Buford Middle School,Buford Middle School,547,7.3
230174000,Buford Middle School,Buford Middle School,617,8.2
300163100,Buford Middle School,Buford Middle School,552,7.4
230144000,Johnson Elementary School,Johnson Elementary School,1025,13.7
